"YEAR","SAMPLE","PERNUM","SEX","AGE","RACE","RACED","EDUC","EDUCD","INCTOT","US2018A_SEX","US2018A_PINCP"
2018,201801,1,2,55,1,100,10,101,70100,"2","0070100"
2018,201801,1,2,41,1,100,8,81,57000,"2","0057000"
2018,201801,2,1,11,1,100,1,17,9999999,"1","BBBBBBB"
2018,201801,3,1,43,8,815,10,101,35000,"1","0035000"
2018,201801,1,2,56,1,100,8,81,65100,"2","0065100"
2018,201801,2,1,54,1,100,6,65,71000,"1","0071000"
2018,201801,3,1,32,1,100,6,64,50000,"1","0050000"
2018,201801,1,1,36,1,100,10,101,40800,"1","0040800"
2018,201801,2,2,33,1,100,11,114,0,"2","0000000"
2018,201801,3,2,3,1,100,0,2,9999999,"2","BBBBBBB"
2018,201801,4,1,1,1,100,0,1,9999999,"1","BBBBBBB"
2018,201801,1,2,33,1,100,6,63,40000,"2","0040000"
2018,201801,2,1,13,8,802,2,25,9999999,"1","BBBBBBB"
2018,201801,3,2,12,8,802,2,25,9999999,"2","BBBBBBB"
2018,201801,4,2,9,1,100,1,16,9999999,"2","BBBBBBB"
2018,201801,1,1,33,3,374,5,50,1100,"1","0001100"
2018,201801,2,2,4,3,374,0,2,9999999,"2","BBBBBBB"
2018,201801,3,1,4,3,374,1,11,9999999,"1","BBBBBBB"
2018,201801,4,1,0,3,374,0,1,9999999,"1","BBBBBBB"
2018,201801,5,2,24,3,374,6,63,25200,"2","0025200"
2018,201801,1,2,61,1,100,10,101,28600,"2","0028600"
2018,201801,2,1,68,3,324,10,101,57200,"1","0057200"
2018,201801,1,1,39,1,100,11,114,15900,"1","0015900"
2018,201801,1,2,55,1,100,10,101,61500,"2","0061500"
2018,201801,2,2,19,1,100,7,71,3100,"2","0003100"
2018,201801,3,2,17,1,100,5,50,1100,"2","0001100"
2018,201801,1,2,27,1,100,10,101,70000,"2","0070000"
2018,201801,1,2,19,1,100,7,71,0,"2","0000000"
2018,201801,1,1,79,7,700,6,63,13500,"1","0013500"
2018,201801,1,1,29,1,100,6,64,0,"1","0000000"
2018,201801,1,1,19,1,100,6,63,8000,"1","0008000"
2018,201801,1,1,18,1,100,6,65,0,"1","0000000"
2018,201801,1,1,13,1,100,2,25,9999999,"1","BBBBBBB"
2018,201801,1,1,64,1,100,1,17,36000,"1","0036000"
2018,201801,1,1,64,7,700,6,63,18200,"1","0018200"
2018,201801,1,2,18,1,100,6,63,3000,"2","0003000"
2018,201801,1,1,18,7,700,7,71,2500,"1","0002500"
2018,201801,1,1,44,1,100,6,63,0,"1","0000000"
2018,201801,1,2,68,7,700,6,64,9600,"2","0009600"
2018,201801,1,1,33,1,100,6,64,0,"1","0000000"
2018,201801,1,2,93,8,818,2,25,20600,"2","0020600"
2018,201801,1,1,41,1,100,7,71,12000,"1","0012000"
2018,201801,1,2,20,1,100,7,71,5700,"2","0005700"
2018,201801,1,1,93,1,100,7,71,0,"1","0000000"
2018,201801,1,2,88,1,100,6,63,10700,"2","0010700"
2018,201801,1,1,34,1,100,6,64,40000,"1","0040000"
2018,201801,1,1,23,7,700,8,81,1000,"1","0001000"
2018,201801,1,1,42,1,100,10,101,15000,"1","0015000"
2018,201801,2,2,32,1,100,10,101,0,"2","0000000"
2018,201801,3,2,0,1,100,0,1,9999999,"2","BBBBBBB"
2018,201801,1,1,64,1,100,11,114,14000,"1","0014000"
2018,201801,2,2,41,1,100,10,101,25000,"2","0025000"
2018,201801,1,1,52,1,100,11,114,100000,"1","0100000"
2018,201801,2,2,48,1,100,6,63,36000,"2","0036000"
2018,201801,3,1,18,1,100,5,50,0,"1","0000000"
2018,201801,4,2,15,1,100,2,26,0,"2","0000000"
2018,201801,1,1,46,8,802,10,101,8000,"1","0008000"
2018,201801,2,1,51,8,802,10,101,23000,"1","0023000"
2018,201801,1,1,68,1,100,7,71,183600,"1","0183600"
2018,201801,2,2,66,1,100,5,50,17900,"2","0017900"
2018,201801,3,2,26,1,100,6,63,0,"2","0000000"
2018,201801,4,1,27,1,100,6,63,8400,"1","0008400"
2018,201801,1,1,93,1,100,6,63,28500,"1","0028500"
2018,201801,1,1,32,1,100,11,114,73000,"1","0073000"
2018,201801,2,2,32,1,100,10,101,18000,"2","0018000"
2018,201801,3,2,2,1,100,0,1,9999999,"2","BBBBBBB"
2018,201801,1,1,79,1,100,6,61,45400,"1","0045400"
2018,201801,2,2,76,1,100,10,101,47200,"2","0047200"
2018,201801,1,2,84,1,100,6,65,0,"2","0000000"
2018,201801,1,2,60,1,100,2,25,8800,"2","0008800"
2018,201801,1,1,68,1,100,6,65,33050,"1","0033050"
2018,201801,2,2,65,1,100,1,16,11000,"2","0011000"
2018,201801,1,1,63,7,700,7,71,12350,"1","0012350"
2018,201801,2,2,53,1,100,11,114,48000,"2","0048000"
2018,201801,3,1,24,7,700,6,63,25000,"1","0025000"
2018,201801,1,1,35,1,100,6,65,36000,"1","0036000"
2018,201801,2,2,33,1,100,7,71,15200,"2","0015200"
2018,201801,3,2,8,1,100,1,14,9999999,"2","BBBBBBB"
2018,201801,4,1,3,1,100,0,2,9999999,"1","BBBBBBB"
2018,201801,1,2,55,1,100,6,65,2400,"2","0002400"
2018,201801,2,1,57,1,100,7,71,114000,"1","0114000"
2018,201801,1,1,67,1,100,10,101,0,"1","0000000"
2018,201801,2,2,66,1,100,6,63,0,"2","0000000"
2018,201801,1,2,54,1,100,3,30,9000,"2","0009000"
2018,201801,1,2,79,1,100,11,114,20600,"2","0020600"
2018,201801,2,1,85,1,100,11,114,23700,"1","0023700"
2018,201801,1,1,51,8,802,7,71,17000,"1","0017000"
2018,201801,1,1,68,1,100,10,101,55000,"1","0055000"
2018,201801,2,2,70,1,100,6,63,16000,"2","0016000"
2018,201801,1,2,42,1,100,7,71,46600,"2","0046600"
2018,201801,2,1,42,1,100,7,71,48000,"1","0048000"
2018,201801,3,1,18,1,100,5,50,920,"1","0000920"
2018,201801,4,2,14,1,100,2,25,9999999,"2","BBBBBBB"
2018,201801,1,2,60,1,100,7,71,12000,"2","0012000"
2018,201801,2,1,62,1,100,10,101,89800,"1","0089800"
2018,201801,1,1,52,1,100,11,114,68000,"1","0068000"
2018,201801,1,2,26,1,100,10,101,28000,"2","0028000"
